id,nombre,edad,perfil,sesgo,preocupacion,pais,provincia,ciudad,nse
1,Persona_1,66,Jubilado,Antisistema,Economía y Seguridad,Argentina,Neuquén,Neuquén Capital,C3 (Medio)
2,Persona_2,52,Empleado público,Liberal,Economía y Seguridad,Argentina,Salta,Cafayate,E (Vulnerable)
3,Persona_3,54,Obrero de fábrica,Escéptico,Economía y Seguridad,Argentina,Salta,Salta Capital,C2 (Medio-Alto)
4,Persona_4,63,Estudiante universitario,Escéptico,Economía y Seguridad,Argentina,Chubut,Puerto Madryn,ABC1 (Alto)
5,Persona_5,70,Docente,Antisistema,Economía y Seguridad,Argentina,Córdoba,Córdoba Capital,ABC1 (Alto)
6,Persona_6,55,Estudiante universitario,Antisistema,Economía y Seguridad,Argentina,Chubut,Puerto Madryn,C3 (Medio)
7,Persona_7,48,Estudiante universitario,Liberal,Economía y Seguridad,Argentina,Córdoba,Río Cuarto,C2 (Medio-Alto)
8,Persona_8,24,Empleado público,Pragmático,Economía y Seguridad,Argentina,CABA,CABA,C3 (Medio)
9,Persona_9,27,Desempleado,Pragmático,Economía y Seguridad,Argentina,Salta,Salta Capital,C3 (Medio)
10,Persona_10,68,Empleado público,Escéptico,Economía y Seguridad,Argentina,CABA,CABA,ABC1 (Alto)
11,Persona_11,20,Empleado público,Justicia Social,Economía y Seguridad,Argentina,Salta,Salta Capital,C3 (Medio)
12,Persona_12,57,Jubilado,Pragmático,Economía y Seguridad,Argentina,Córdoba,Carlos Paz,C2 (Medio-Alto)
13,Persona_13,53,Docente,Conservador,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,ABC1 (Alto)
14,Persona_14,20,Comerciante de barrio,Justicia Social,Economía y Seguridad,Argentina,Chubut,Puerto Madryn,ABC1 (Alto)
15,Persona_15,29,Docente,Antisistema,Economía y Seguridad,Argentina,CABA,CABA,D1 (Bajo)
16,Persona_16,58,Docente,Justicia Social,Economía y Seguridad,Argentina,Santa Fe,Rosario,ABC1 (Alto)
17,Persona_17,56,Comerciante de barrio,Escéptico,Economía y Seguridad,Argentina,Córdoba,Río Cuarto,ABC1 (Alto)
18,Persona_18,60,Desempleado,Liberal,Economía y Seguridad,Argentina,Salta,Cafayate,C3 (Medio)
19,Persona_19,61,Profesional independiente,Progresista,Economía y Seguridad,Argentina,Mendoza,Mendoza Capital,C2 (Medio-Alto)
20,Persona_20,75,Empleado público,Progresista,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,C2 (Medio-Alto)
21,Persona_21,43,Programador freelance,Conservador,Economía y Seguridad,Argentina,CABA,CABA,D1 (Bajo)
22,Persona_22,24,Obrero de fábrica,Antisistema,Economía y Seguridad,Argentina,Mendoza,Luján de Cuyo,ABC1 (Alto)
23,Persona_23,36,Docente,Progresista,Economía y Seguridad,Argentina,Tucumán,San Miguel de Tucumán,E (Vulnerable)
24,Persona_24,75,Productor agropecuario,Conservador,Economía y Seguridad,Argentina,Mendoza,Mendoza Capital,C2 (Medio-Alto)
25,Persona_25,53,Empleado público,Escéptico,Economía y Seguridad,Argentina,Buenos Aires,Tandil,D1 (Bajo)
26,Persona_26,21,Productor agropecuario,Justicia Social,Economía y Seguridad,Argentina,Córdoba,Carlos Paz,E (Vulnerable)
27,Persona_27,47,Comerciante de barrio,Liberal,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,D1 (Bajo)
28,Persona_28,62,Profesional independiente,Liberal,Economía y Seguridad,Argentina,CABA,CABA,ABC1 (Alto)
29,Persona_29,56,Docente,Antisistema,Economía y Seguridad,Argentina,CABA,CABA,C3 (Medio)
30,Persona_30,33,Trabajador informal,Escéptico,Economía y Seguridad,Argentina,Neuquén,San Martín de los Andes,E (Vulnerable)
31,Persona_31,58,Jubilado,Liberal,Economía y Seguridad,Argentina,Salta,Salta Capital,C3 (Medio)
32,Persona_32,71,Productor agropecuario,Progresista,Economía y Seguridad,Argentina,Santa Fe,Venado Tuerto,D1 (Bajo)
33,Persona_33,23,Jubilado,Antisistema,Economía y Seguridad,Argentina,Neuquén,San Martín de los Andes,ABC1 (Alto)
34,Persona_34,22,Productor agropecuario,Escéptico,Economía y Seguridad,Argentina,Mendoza,Mendoza Capital,ABC1 (Alto)
35,Persona_35,44,Desempleado,Pragmático,Economía y Seguridad,Argentina,CABA,CABA,C3 (Medio)
36,Persona_36,52,Docente,Antisistema,Economía y Seguridad,Argentina,CABA,CABA,E (Vulnerable)
37,Persona_37,70,Obrero de fábrica,Conservador,Economía y Seguridad,Argentina,Buenos Aires,Bahía Blanca,ABC1 (Alto)
38,Persona_38,69,Estudiante universitario,Conservador,Economía y Seguridad,Argentina,Buenos Aires,La Plata,D1 (Bajo)
39,Persona_39,51,Empleado público,Antisistema,Economía y Seguridad,Argentina,Buenos Aires,Tandil,C3 (Medio)
40,Persona_40,25,Comerciante de barrio,Progresista,Economía y Seguridad,Argentina,Santa Fe,Venado Tuerto,ABC1 (Alto)
41,Persona_41,19,Desempleado,Progresista,Economía y Seguridad,Argentina,Mendoza,San Rafael,D1 (Bajo)
42,Persona_42,75,Productor agropecuario,Escéptico,Economía y Seguridad,Argentina,Tucumán,San Miguel de Tucumán,C3 (Medio)
43,Persona_43,28,Productor agropecuario,Pragmático,Economía y Seguridad,Argentina,Santa Fe,Rosario,ABC1 (Alto)
44,Persona_44,42,Programador freelance,Conservador,Economía y Seguridad,Argentina,Buenos Aires,Tandil,ABC1 (Alto)
45,Persona_45,68,Trabajador informal,Antisistema,Economía y Seguridad,Argentina,Neuquén,San Martín de los Andes,D1 (Bajo)
46,Persona_46,34,Emprendedor tech,Escéptico,Economía y Seguridad,Argentina,CABA,CABA,ABC1 (Alto)
47,Persona_47,27,Profesional independiente,Conservador,Economía y Seguridad,Argentina,CABA,CABA,E (Vulnerable)
48,Persona_48,73,Jubilado,Justicia Social,Economía y Seguridad,Argentina,Santa Fe,Santa Fe Capital,ABC1 (Alto)
49,Persona_49,75,Obrero de fábrica,Conservador,Economía y Seguridad,Argentina,Neuquén,Neuquén Capital,ABC1 (Alto)
50,Persona_50,71,Estudiante universitario,Progresista,Economía y Seguridad,Argentina,Córdoba,Carlos Paz,C2 (Medio-Alto)
51,Persona_51,60,Programador freelance,Antisistema,Economía y Seguridad,Argentina,Tucumán,San Miguel de Tucumán,E (Vulnerable)
52,Persona_52,41,Docente,Conservador,Economía y Seguridad,Argentina,Santa Fe,Venado Tuerto,ABC1 (Alto)
53,Persona_53,46,Jubilado,Antisistema,Economía y Seguridad,Argentina,Santa Fe,Santa Fe Capital,C3 (Medio)
54,Persona_54,61,Productor agropecuario,Pragmático,Economía y Seguridad,Argentina,Salta,Cafayate,C2 (Medio-Alto)
55,Persona_55,50,Empleado público,Justicia Social,Economía y Seguridad,Argentina,Buenos Aires,Tandil,C2 (Medio-Alto)
56,Persona_56,56,Productor agropecuario,Progresista,Economía y Seguridad,Argentina,Santa Fe,Venado Tuerto,D1 (Bajo)
57,Persona_57,38,Emprendedor tech,Escéptico,Economía y Seguridad,Argentina,CABA,CABA,ABC1 (Alto)
58,Persona_58,19,Docente,Pragmático,Economía y Seguridad,Argentina,Neuquén,Neuquén Capital,C2 (Medio-Alto)
59,Persona_59,42,Jubilado,Conservador,Economía y Seguridad,Argentina,CABA,CABA,C3 (Medio)
60,Persona_60,42,Productor agropecuario,Escéptico,Economía y Seguridad,Argentina,Buenos Aires,Tandil,D1 (Bajo)
61,Persona_61,48,Jubilado,Pragmático,Economía y Seguridad,Argentina,Mendoza,Mendoza Capital,C3 (Medio)
62,Persona_62,24,Jubilado,Progresista,Economía y Seguridad,Argentina,Chubut,Puerto Madryn,ABC1 (Alto)
63,Persona_63,58,Productor agropecuario,Conservador,Economía y Seguridad,Argentina,Salta,Cafayate,E (Vulnerable)
64,Persona_64,65,Trabajador informal,Pragmático,Economía y Seguridad,Argentina,Neuquén,Neuquén Capital,E (Vulnerable)
65,Persona_65,41,Desempleado,Liberal,Economía y Seguridad,Argentina,Mendoza,San Rafael,D1 (Bajo)
66,Persona_66,56,Programador freelance,Progresista,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,C3 (Medio)
67,Persona_67,29,Obrero de fábrica,Conservador,Economía y Seguridad,Argentina,Santa Fe,Rosario,C2 (Medio-Alto)
68,Persona_68,28,Programador freelance,Conservador,Economía y Seguridad,Argentina,Neuquén,San Martín de los Andes,C3 (Medio)
69,Persona_69,60,Empleado público,Progresista,Economía y Seguridad,Argentina,Neuquén,Neuquén Capital,C2 (Medio-Alto)
70,Persona_70,59,Comerciante de barrio,Pragmático,Economía y Seguridad,Argentina,Salta,Cafayate,C3 (Medio)
71,Persona_71,34,Desempleado,Liberal,Economía y Seguridad,Argentina,Chubut,Comodoro Rivadavia,D1 (Bajo)
72,Persona_72,56,Docente,Antisistema,Economía y Seguridad,Argentina,Mendoza,San Rafael,ABC1 (Alto)
73,Persona_73,23,Comerciante de barrio,Escéptico,Economía y Seguridad,Argentina,Santa Fe,Venado Tuerto,E (Vulnerable)
74,Persona_74,23,Trabajador informal,Conservador,Economía y Seguridad,Argentina,Neuquén,Neuquén Capital,C3 (Medio)
75,Persona_75,22,Productor agropecuario,Justicia Social,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,C3 (Medio)
76,Persona_76,66,Comerciante de barrio,Pragmático,Economía y Seguridad,Argentina,Córdoba,Córdoba Capital,E (Vulnerable)
77,Persona_77,72,Productor agropecuario,Conservador,Economía y Seguridad,Argentina,Salta,Cafayate,E (Vulnerable)
78,Persona_78,41,Emprendedor tech,Antisistema,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,ABC1 (Alto)
79,Persona_79,37,Estudiante universitario,Progresista,Economía y Seguridad,Argentina,Neuquén,San Martín de los Andes,C3 (Medio)
80,Persona_80,50,Docente,Liberal,Economía y Seguridad,Argentina,Salta,Cafayate,ABC1 (Alto)
81,Persona_81,69,Jubilado,Justicia Social,Economía y Seguridad,Argentina,Chubut,Comodoro Rivadavia,D1 (Bajo)
82,Persona_82,36,Comerciante de barrio,Antisistema,Economía y Seguridad,Argentina,Buenos Aires,Bahía Blanca,D1 (Bajo)
83,Persona_83,45,Obrero de fábrica,Liberal,Economía y Seguridad,Argentina,Chubut,Puerto Madryn,D1 (Bajo)
84,Persona_84,75,Docente,Antisistema,Economía y Seguridad,Argentina,Chubut,Puerto Madryn,C3 (Medio)
85,Persona_85,33,Emprendedor tech,Justicia Social,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,ABC1 (Alto)
86,Persona_86,41,Docente,Progresista,Economía y Seguridad,Argentina,Neuquén,San Martín de los Andes,C2 (Medio-Alto)
87,Persona_87,72,Emprendedor tech,Escéptico,Economía y Seguridad,Argentina,Santa Fe,Rosario,C2 (Medio-Alto)
88,Persona_88,53,Estudiante universitario,Escéptico,Economía y Seguridad,Argentina,Neuquén,San Martín de los Andes,D1 (Bajo)
89,Persona_89,26,Jubilado,Conservador,Economía y Seguridad,Argentina,Mendoza,Luján de Cuyo,D1 (Bajo)
90,Persona_90,34,Comerciante de barrio,Conservador,Economía y Seguridad,Argentina,Chubut,Comodoro Rivadavia,C2 (Medio-Alto)
91,Persona_91,48,Productor agropecuario,Escéptico,Economía y Seguridad,Argentina,Buenos Aires,La Plata,C2 (Medio-Alto)
92,Persona_92,63,Docente,Pragmático,Economía y Seguridad,Argentina,Tucumán,Yerba Buena,C3 (Medio)
93,Persona_93,58,Empleado público,Pragmático,Economía y Seguridad,Argentina,Córdoba,Carlos Paz,C3 (Medio)
